scorer,DeepCut_resnet50_eyes_onlyJan25shuffle1_350000,DeepCut_resnet50_eyes_onlyJan25shuffle1_350000,DeepCut_resnet50_eyes_onlyJan25shuffle1_350000,DeepCut_resnet50_eyes_onlyJan25shuffle1_350000,DeepCut_resnet50_eyes_onlyJan25shuffle1_350000,DeepCut_resnet50_eyes_onlyJan25shuffle1_350000,DeepCut_resnet50_eyes_onlyJan25shuffle1_350000,DeepCut_resnet50_eyes_onlyJan25shuffle1_350000,DeepCut_resnet50_eyes_onlyJan25shuffle1_350000,DeepCut_resnet50_eyes_onlyJan25shuffle1_350000,DeepCut_resnet50_eyes_onlyJan25shuffle1_350000,DeepCut_resnet50_eyes_onlyJan25shuffle1_350000
bodyparts,left-eye-outer,left-eye-outer,left-eye-outer,left-eye-inner,left-eye-inner,left-eye-inner,right-eye-outer,right-eye-outer,right-eye-outer,right-eye-inner,right-eye-inner,right-eye-inner
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
11,271.8873076438904,59.94858455657959,1.0,245.6745183467865,51.01906108856201,1.0,58.15044403076172,63.996070861816406,1.0,77.02828025817871,51.62747573852539,1.0
12,271.7558205127716,59.72317123413086,1.0,245.97444832324982,51.064265727996826,1.0,58.349709272384644,64.58625602722168,1.0,77.69663619995117,51.47002124786377,1.0
13,272.0815954208374,59.623915672302246,1.0,245.78028178215027,51.0566930770874,1.0,58.39184856414795,64.1724157333374,1.0,77.49216365814209,50.74977159500122,1.0
14,272.1166443824768,59.6969952583313,1.0,245.83984696865082,51.12825965881348,1.0,58.68361699581146,64.35561275482178,1.0,77.3845329284668,50.85946798324585,1.0
15,271.8494005203247,60.20389938354492,1.0,245.80889856815338,51.499070167541504,1.0,58.84947943687439,64.82772159576416,1.0,77.33443355560303,50.818081855773926,1.0
16,271.8482713699341,60.739590644836426,1.0,245.62704193592072,51.449580669403076,1.0,58.69708836078644,65.05492401123047,1.0,76.85494136810303,51.078187465667725,1.0
17,272.335027217865,60.43601131439209,1.0,246.10095286369324,51.709810733795166,1.0,59.09456968307495,65.19851541519165,1.0,76.71697998046875,51.352274894714355,1.0
18,272.19990634918213,60.66376495361328,1.0,245.9682731628418,51.77234125137329,1.0,58.92023944854736,65.4038815498352,1.0,76.89488220214844,51.22606945037842,1.0
19,271.69834065437317,60.24170207977295,1.0,245.2531864643097,50.91572189331055,1.0,58.05588960647583,65.19711303710938,1.0,77.53122234344482,51.16983652114868,1.0
20,271.932265996933,60.254075050354004,1.0,245.61564350128174,51.31919574737549,1.0,58.75310802459717,65.60877847671509,1.0,77.62576580047607,51.48248815536499,1.0
21,271.7019112110138,60.61620235443115,1.0,245.80536341667175,51.80048847198486,1.0,58.11784899234772,64.17609024047852,1.0,78.62575721740723,50.3825478553772,1.0
22,270.4133372306824,61.68499565124512,1.0,246.43473386764526,51.768521308898926,1.0,58.09510695934296,63.53452110290527,1.0,77.73485374450684,50.57219219207764,1.0
23,271.2824606895447,60.9629545211792,1.0,245.8144952058792,51.54737091064453,1.0,57.90899157524109,64.13129234313965,1.0,78.0149564743042,50.92966890335083,1.0
24,270.9570333957672,61.39586639404297,1.0,245.83269548416138,52.29020118713379,1.0,58.62750780582428,64.59283638000488,1.0,76.90493679046631,50.209211349487305,1.0
25,270.74427795410156,61.40211200714111,1.0,246.03342461585999,51.55604076385498,1.0,58.68636989593506,65.15808153152466,1.0,77.2220983505249,50.73825454711914,1.0
26,270.8439779281616,61.15441703796387,1.0,246.25322604179382,51.437514305114746,1.0,58.02603781223297,64.26633358001709,1.0,77.32253170013428,50.89352035522461,1.0
27,270.6118049621582,61.81768798828125,1.0,246.40312600135803,51.5377721786499,1.0,58.76853084564209,64.94168472290039,1.0,77.09633255004883,50.12950897216797,1.0
28,269.8694211244583,62.33359622955322,1.0,245.12868738174438,51.785715103149414,1.0,58.7037787437439,64.29456996917725,1.0,78.31161689758301,50.401883125305176,1.0
29,270.72835326194763,62.09951210021973,1.0,245.83653354644775,52.10365390777588,1.0,57.654613971710205,64.54780292510986,1.0,77.5885763168335,50.54725790023804,1.0
30,271.57661294937134,61.49294662475586,1.0,246.2114806175232,51.80618858337402,1.0,58.779152512550354,64.78453540802002,1.0,76.91999912261963,50.25336980819702,1.0
31,271.83021450042725,61.1392765045166,1.0,245.90411150455475,51.66587734222412,1.0,58.85426998138428,64.14187526702881,1.0,77.22148990631104,49.42478084564209,1.0
